spotify_id,artist,track_name,duration,date_added
4C4GC99d5OBAUtlCnsSGh7,Gary Clark Jr.,Maktub,4:13,2024-11-25
3nHuKdFJZm78CoeBnDcFKe,Teddy Swims,Bad Dreams,3:05,2024-11-25
0OA00aPt3BV10qeMIs3meW,Hanumankind; Kalmi,Big Dawgs,3:11,2024-11-25
1fLlRApgzxWweF1JTf8yM5,Linkin Park,Given Up,3:09,2024-11-24
5cTitgnXxwBuRUJMEnEgtk,The Chemical Brothers,The State We're In,6:27,2024-11-18
3FVy3aVs0TFzLv6FEiLqC2,Max Richter,Dream 1,2:33,2024-11-14
7D0Vzk7rZ6ncTFZj3AqT84,Django Reinhardt,Django's Tiger,2:38,2024-11-13
5axOkQnmQmwtjr4bv1Xt7i,Ozzy Osbourne,I Don't Wanna Stop,3:60,2024-11-12
0xNx1JxP6PCZ8KpW0cVsDJ,Lamb of God,Descending,3:35,2024-11-12
3sXl6kTbIhhPZ3mrho4woG,deadmau5,Sever,7:08,2024-11-11
7qsvQRnrKBTH948NgeyMfl,Melleefresh; deadmau5,Afterhours,6:08,2024-11-11
0mTwh4PUZ5j9URVCX8WXSA,Leopold Stokowski; Philadelphia Orchestra,The Sorcerer's Apprentice,9:19,2024-11-08
6xXlurslWqFuyqTCBlErzX,Godsmack,Awake,5:04,2024-11-07
0o73cSWmV0YJeHvzDbJDdn,MF DOOM,Coffin Nails,2:57,2024-11-05
6UDFkqHY5gLREnSh9jd5th,Christopher Tin; Soweto Gospel Choir,Baba Yetu,3:30,2024-10-24
4Uiw0Sl9yskBaC6P4DcdVD,Deftones,Be Quiet and Drive (Far Away),4:60,2024-10-17
1C7CYlQHn97Q0D8nR8v7sy,65daysofstatic,Tiger Girl,10:37,2024-10-17
3y2KtKfFtZtWkPmvQ6tvek,Moondog,Lament I Bird's Lament,1:47,2024-10-17
3CT4U4jJEagjIHg5PPph8X,Khruangbin,"María También",3:11,2024-10-17
1XCqGflyHjZAE1BnRqWUc9,Booker T. & the M.G.'s,Let's Go Get Stoned,2:55,2024-10-17
0nNwfRyw0eY323NMkBM0y8,Rodrigo y Gabriela,"Tamacún",3:26,2024-10-17
6e3pNF98ePTt7hRJscbqwr,The Birdland Big Band,Your Smile,9:10,2024-10-17
6wUU6ff7O1jlE4NOrv01gI,Ólafur Arnalds,re:member,6:05,2024-10-17
3XSCsuqhAqaVoYkYHHFrNC,Destroy Boys; Mannequin Pussy; Scowl,You Hear Yes,2:44,2024-09-28
4jwZZX8J8eN3w0FOK4FCI3,Johnny Mathis,It's Beginning to Look Like Christmas,2:15,2024-09-22
4uxsv9PjV3Yeyn51RdWvGJ,Johnny Mathis,Misty,3:37,2024-09-22
2exVVVKvdymCwOFdvmA2bq,Spiritbox,The Void,3:41,2024-09-12
4AFjPeecGnS3999PV5iOSK,Gojira; Marina Viotti; Victor Le Masne,Mea Culpa,2:53,2024-09-06
1pPDrLPj7qLlRHD4GRW0cZ,Herzeloyde,Stories,3:17,2024-08-13
11iIikXxC6NP0Ma8vMD27x,Vundabar,Alien Blues,2:36,2024-08-11
6iC7vapdKp0XlKhxOkp8QJ,Tiësto; Sevenn; Gucci Mane,BOOM,2:60,2024-08-06
6WeMckuqw38OVkVYxFOW2m,Arkana,Nihilum,5:04,2024-08-02
07RPEOwBOCHQcyEbV0uYxL,fusq,Suiito,2:24,2024-08-02
12wOSEu7t5Pp0GLBTeglBK,deadmau5; Chris Lake; Michael Woods,I Said - Michael Woods Remix,7:05,2024-07-31
0c9MTfnssGoNXUgmsaE5XU,Jon Hopkins,Open Eye Signal,7:49,2024-07-25
69TZeRi1BYt4J712MvrIHC,Jon Hopkins,Immunity,9:57,2024-07-24
1f3KBLyi2YlRVNOt9X7jJA,Billy Hart,Amethyst,12:17,2024-07-19
1kPBT8S2wJFNAyBMnGVZgL,Etta James,I'd Rather Go Blind,2:37,2024-07-19
1Ov37jtRQ2YNAe8HzfczkL,Taylor Swift,Wildest Dreams (Taylor's Version),3:40,2024-07-19
4vtJnyP8ukIKcYZ7MhfBHJ,Spiritbox,Rule Of Nines,3:31,2024-07-18
6ZtWV5Xnnj8Mowoc02JWB5,Marc Rebillet,Vibes Alright,2:58,2024-07-15
1a3ght71qSYa6wBFmmmTE2,Architects,An Ordinary Extinction,4:08,2024-06-26
6XcoiOYiNbIxzpt8WRxq8Z,Rammstein,Du hast,3:56,2024-06-20
5SMWUtZSr58zY0l5P0HSQJ,REZN,Scarab,4:06,2024-06-19
2eqjpko1AQuTdxkBFhAcRG,Kublai Khan TX,Self-Destruct,2:19,2024-06-18
4vBO3iPTa7yH88pqdMyOhw,Ted Leo and the Pharmacists,Me and Mia,3:31,2024-06-18
0yc6Gst2xkRu0eMLeRMGCX,Cigarettes After Sex,Apocalypse,4:51,2024-06-16
4kxXP9JhYq1AVbuPRgKxMj,Craig Armstrong; Lana Del Rey,Hotel Sayre,3:22,2024-06-16
0zo4aX57COch7Wh3NRImTM,Childish Gambino,Heartbeat,4:30,2024-06-16
0phzfJn8NeT1LkbqfV2peI,The Marías,Lejos de Ti,2:60,2024-06-16
5Qv2Nby1xTr9pQyjkrc94J,Radiohead,All I Need,3:49,2024-06-16
42gzADgUU7e2yu5Qn8WfeC,Deftones,"Please Please Please Let Me Get What I Want",2:04,2024-06-16
79rfskJwK9NLN3p5cdccth,Matt Maltese,Intolewd,1:20,2024-06-16
7cs7MLtAWvsdf3w5kBvfK2,Cigarettes After Sex,Nothing's Gonna Hurt You Baby,4:46,2024-06-16
1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,2:34,2024-06-16
0WFryfbNKPXVtVQlz5dZ8H,Billie Eilish,hotline (edit),1:01,2024-06-16
0uMZbmAAgOhdMrv25iPEH6,Sidewalks and Skeletons,Goth,3:27,2024-06-16
0TZejo18HlJ86OrWNsXKnw,Strawberry Guy,Mrs Magic,3:29,2024-06-16
0O0bttAxJKKWqAqY2Nq4mC,Cigarettes After Sex,Falling In Love,4:06,2024-06-16
4hm33jVolpa22nzhlY72jD,Strawberry Guy,Intermission,1:50,2024-06-16
7vPHiwgCOAjSBRjAirbMvS,Cocteau Twins; Harold Budd,Sea Swallow Me,3:09,2024-06-16
3jVniYVNCrwQvvWJpReosr,SYML,Fear of the Water,4:06,2024-06-16
21qg0IBZf8R12qHd9A3AA4,Lana Del Rey,Salvatore,4:41,2024-06-03
04daeztQJg7lyDDAHJ70rT,Ralph Vaughan Williams,Fantasia on a Theme by Thomas Tallis,15:13,2024-05-13
2jJrIibf0GquFSv39pExNf,Edward Elgar,Enigma Variations,1:27,2024-05-10
0yxzfsmzMOCRhbHBpFjXzL,King Gizzard & The Lizard Wizard,Gamma Knife,4:21,2024-05-06
59FwEQpuagQZQVP71h9OIq,Nine Inch Nails,March Of The Pigs,2:59,2024-05-06
1CM1wOqD2AIjt2MWd31LV2,Peter Gabriel,Solsbury Hill,4:21,2024-05-06
03sEzk1VyrUZSgyhoQR0LZ,TOOL,Pneuma,11:53,2024-05-06
1EuFHPoVGfyfEZBaYExK7v,Moondog,Bird's Lament,2:04,2024-05-05
7iZ3N3mKXPiQxT4eyTi1Xd,Gojira,The art of dying,9:54,2024-05-04
2QVmiA93GVhWNTWQctyY1K,M83,Outro,4:07,2024-05-03
5OgSdwxbwv8SumrXcCxwgD,Justice Der,Wish,3:26,2024-05-01
4LCzEYKPFcd2FCOmZdVDnM,Immortal Technique,Dance With The Devil,9:39,2024-04-29
2CLSHTGF4jYXx2RCz1h0dS,Sublime,"April 29 1992 (Miami)",3:53,2024-04-29
6aLmvz0CPeCNHCXK2H5QIC,Beck,Debra,5:43,2024-04-29
